time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-10T20:21:17.210Z,-10.2241,118.7493,40.522,4.6,mb,68,99,1.687,0.6,us,us6000j8gv,2023-02-18T22:04:01.040Z,"177 km WSW of Waingapu, Indonesia",earthquake,5.99,5.873,0.08,46,reviewed,us,us
2022-12-09T19:17:40.270Z,-10.6423,124.4258,10,4.2,mb,14,113,0.895,1.23,us,us6000j9h6,2023-02-11T23:03:25.040Z,"87 km S of Soe, Indonesia",earthquake,6.41,1.927,0.304,3,reviewed,us,us
2022-12-07T21:43:18.058Z,-10.2477,118.7569,29.163,4.2,mb,22,86,1.711,1.09,us,us6000j8tf,2023-02-11T23:03:23.040Z,"177 km WSW of Waingapu, Indonesia",earthquake,6.76,6.351,0.216,6,reviewed,us,us
2022-12-06T02:34:49.662Z,-9.1621,123.9568,66.995,4.5,mb,30,110,0.664,0.53,us,us6000j76u,2023-02-11T23:03:10.040Z,"47 km W of Pante Makasar, Timor Leste",earthquake,8.63,8.191,0.121,20,reviewed,us,us
2022-12-02T12:49:06.836Z,-8.6071,121.6032,183.417,4.5,mb,32,47,0.628,0.48,us,us6000j6aa,2023-02-05T23:26:04.040Z,"26 km NNW of Ende, Indonesia",earthquake,7.62,5.594,0.127,18,reviewed,us,us
2022-11-26T12:48:14.714Z,-8.2555,121.8592,203.986,4,mb,15,124,0.532,0.6,us,us6000j62b,2023-02-05T23:24:00.040Z,"55 km NW of Maumere, Indonesia",earthquake,10.18,5.821,0.212,8,reviewed,us,us
2022-11-20T22:55:08.309Z,-10.4492,123.8414,10,4.4,mb,12,84,0.807,0.2,us,us7000is5b,2023-01-30T06:00:29.040Z,"40 km SE of Kupang, Indonesia",earthquake,5.92,1.934,0.239,5,reviewed,us,us
2022-11-20T15:30:12.022Z,-10.4765,123.9037,10,4.4,mb,31,92,0.801,0.62,us,us7000is4v,2023-01-30T06:00:26.040Z,"46 km SE of Kupang, Indonesia",earthquake,5.86,1.493,0.149,15,reviewed,us,us
2022-11-20T13:49:17.463Z,-10.4363,123.7732,10,5.1,mww,78,63,0.833,0.48,us,us7000ir5k,2023-01-30T06:00:24.040Z,"",earthquake,5.09,1.846,0.065,23,reviewed,us,us
2022-11-13T21:09:49.812Z,-11.4633,120.3244,10,4.5,mb,20,64,3.383,0.77,us,us7000iqi3,2023-01-28T19:58:23.040Z,"south of Sumba, Indonesia",earthquake,4.3,1.903,0.18,9,reviewed,us,us
2022-11-05T10:08:00.405Z,-8.8323,122.5431,118.504,4.1,mb,20,75,0.36,0.44,us,us7000inrk,2023-01-21T19:27:18.040Z,"43 km ESE of Maumere, Indonesia",earthquake,11.13,3.741,0.157,11,reviewed,us,us
2022-11-05T09:23:39.347Z,-11.5667,118.1105,10,4.1,mb,19,163,2.742,0.47,us,us7000inrl,2023-01-21T19:27:18.040Z,"south of Sumbawa, Indonesia",earthquake,5.51,1.943,0.185,9,reviewed,us,us
2022-11-04T07:18:47.010Z,-10.3087,118.9772,27.019,4.3,mb,24,90,1.889,0.77,us,us7000imfy,2023-01-12T23:11:24.040Z,"158 km WSW of Waingapu, Indonesia",earthquake,7.42,3.379,0.188,8,reviewed,us,us
2022-11-01T16:01:35.042Z,-10.4154,123.6981,12.002,4.3,mb,15,175,0.863,0.22,us,us7000imj0,2023-01-12T23:11:31.040Z,"",earthquake,7.57,5.005,0.307,5,reviewed,us,us
2022-10-31T00:15:21.601Z,-8.8588,119.1319,113.216,4.2,mb,26,72,1.34,0.7,us,us7000ile7,2023-01-12T23:10:42.040Z,"Flores region, Indonesia",earthquake,7.17,8.576,0.304,3,reviewed,us,us
2022-10-27T21:30:12.243Z,-10.8125,119.3419,10,4.5,mb,40,104,2.504,0.67,us,us7000iktg,2023-01-03T15:23:44.040Z,"162 km SW of Waingapu, Indonesia",earthquake,7.26,1.886,0.116,22,reviewed,us,us
2022-10-22T21:10:24.366Z,-8.98,124.034,86.934,4.2,mb,12,71,0.804,0.65,us,us7000ikpn,2023-01-03T15:23:42.040Z,"45 km WNW of Pante Makasar, Timor Leste",earthquake,7.67,8.895,0.214,6,reviewed,us,us
2022-10-20T09:13:22.592Z,-8.8422,124.1119,110.478,4.2,mb,30,68,0.92,0.92,us,us6000iv4h,2022-12-31T23:03:40.040Z,"49 km NW of Pante Makasar, Timor Leste",earthquake,5.69,7.028,0.158,13,reviewed,us,us
2022-10-19T23:15:28.201Z,-9.0026,123.7407,113.567,4.6,mb,58,86,0.911,0.68,us,us6000iuzj,2022-12-31T23:03:40.040Z,"65 km N of Naisano Dua, Indonesia",earthquake,6.93,6.355,0.08,47,reviewed,us,us
2022-10-16T01:00:49.857Z,-10.27,124.9641,10,4.1,mb,13,105,0.856,0.77,us,us6000iu2i,2022-12-31T23:03:34.040Z,"87 km ESE of Soe, Indonesia",earthquake,6.29,1.943,0.301,3,reviewed,us,us
2022-10-15T21:22:48.512Z,-8.5202,118.8494,140.174,4.9,mb,133,44,1.104,0.77,us,us6000iu0d,2022-12-31T23:03:34.040Z,"15 km ESE of Bima, Indonesia",earthquake,6.88,5.132,0.054,108,reviewed,us,us
2022-10-12T11:41:08.812Z,-10.5809,121.3449,14.667,4.1,mb,19,85,2.124,0.93,us,us6000it0i,2022-12-17T22:53:57.040Z,"156 km SE of Waingapu, Indonesia",earthquake,7.32,2.489,0.174,9,reviewed,us,us
2022-10-07T18:26:43.214Z,-9.2614,118.9769,103.262,4.2,mb,35,91,1.262,0.71,us,us6000irx3,2022-12-10T22:53:54.040Z,"92 km SSE of Bima, Indonesia",earthquake,7.23,3.014,0.115,24,reviewed,us,us
2022-10-04T18:28:03.039Z,-8.1368,120.6297,9.125,4.1,mb,16,90,1.666,1.3,us,us6000ish6,2022-12-10T22:54:00.040Z,"Flores region, Indonesia",earthquake,5.31,4.877,0.233,5,reviewed,us,us
2022-10-04T04:52:13.409Z,-8.0698,120.5649,10,4.6,mb,33,52,1.748,0.53,us,us6000iqm9,2022-12-10T22:53:04.040Z,"Flores region, Indonesia",earthquake,6.34,1.855,0.125,19,reviewed,us,us
2022-10-03T08:25:42.452Z,-10.3654,124.5192,10,4.3,mb,23,102,0.655,0.68,us,us6000irv2,2022-12-10T22:53:51.040Z,"61 km SSE of Soe, Indonesia",earthquake,6.39,1.903,0.161,11,reviewed,us,us
2022-10-03T00:25:26.221Z,-9.9724,118.7151,36.291,4.4,mb,33,48,1.467,0.43,us,us6000iruk,2022-12-10T22:53:49.040Z,"",earthquake,6.46,7.567,0.139,15,reviewed,us,us
2022-10-02T00:49:55.605Z,-10.308,124.7821,10,4,mb,17,101,0.748,0.47,us,us6000irt5,2022-12-10T22:53:43.040Z,"73 km SE of Soe, Indonesia",earthquake,6.59,1.926,0.232,5,reviewed,us,us
2022-09-30T00:21:50.068Z,-10.457,124.7267,10,4,mb,16,105,0.831,0.29,us,us6000irhk,2022-12-03T22:03:14.040Z,"Timor region, Indonesia",earthquake,6.45,1.948,0.26,4,reviewed,us,us
2022-09-29T20:48:04.488Z,-10.3881,124.7326,10,4.2,mb,15,105,0.778,1.12,us,us6000ir47,2022-12-03T22:03:13.040Z,"76 km SE of Soe, Indonesia",earthquake,8.34,1.955,0.529,1,reviewed,us,us
2022-09-23T03:05:34.722Z,-8.5894,119.2589,129.819,4.5,mb,43,62,1.484,1.11,us,us7000iact,2022-11-26T20:57:55.040Z,"25 km W of Komodo, Indonesia",earthquake,5.35,6.492,0.121,22,reviewed,us,us
2022-09-21T23:59:37.286Z,-9.555,119.6012,84.179,4.3,mb,26,90,1.941,0.57,us,us7000ia17,2022-11-26T20:57:51.040Z,"73 km W of Waingapu, Indonesia",earthquake,8.03,6.572,0.142,14,reviewed,us,us
2022-09-21T19:41:11.124Z,-11.4315,119.2162,10,4.3,mb,17,88,2.95,1.11,us,us7000i9zl,2022-11-26T20:57:50.040Z,"227 km SSW of Waingapu, Indonesia",earthquake,3.65,1.956,0.238,5,reviewed,us,us
2022-09-19T23:34:27.022Z,-8.066,119.7559,178.086,4.3,mb,32,64,2.099,0.6,us,us7000i9ec,2022-11-26T20:57:43.040Z,"49 km NNW of Labuan Bajo, Indonesia",earthquake,7.13,5.659,0.16,11,reviewed,us,us
2022-09-16T19:51:06.729Z,-8.1795,123.9495,167.823,4.3,mb,14,130,1.597,0.69,us,us7000ia87,2022-11-19T23:03:54.040Z,"122 km NNW of Pante Makasar, Timor Leste",earthquake,11.33,10.469,0.308,3,reviewed,us,us
2022-09-12T21:37:12.808Z,-9.8593,118.6419,67.889,4.1,mb,20,95,1.334,0.39,us,us7000i7h9,2022-11-19T23:02:50.040Z,"147 km S of Dompu, Indonesia",earthquake,7.84,7.749,0.145,13,reviewed,us,us
2022-08-30T13:48:45.845Z,-8.2797,118.5025,156.814,4.1,mb,23,57,0.901,0.62,us,us7000i60t,2022-11-06T04:37:32.040Z,"28 km N of Dompu, Indonesia",earthquake,8.23,6.742,0.198,7,reviewed,us,us
2022-08-19T18:17:31.094Z,-8.8581,119.3007,119.511,4.5,mb,73,53,1.507,1.06,us,us6000ic76,2022-10-28T02:27:10.040Z,"Flores region, Indonesia",earthquake,6.22,1.927,0.073,59,reviewed,us,us
2022-08-16T19:25:34.739Z,-9.3401,124.5328,23.901,4.3,mb,18,64,0.489,0.61,us,us7000i2ca,2022-10-28T02:27:56.040Z,"13 km NNE of Kefamenanu, Indonesia",earthquake,6.6,4.022,0.217,9,reviewed,us,us
2022-08-13T00:18:31.477Z,-11.3824,119.6944,10,4.7,mb,47,82,3.164,0.73,us,us6000iaep,2022-10-28T02:25:32.040Z,"200 km SSW of Waingapu, Indonesia",earthquake,6.49,1.615,0.098,32,reviewed,us,us
2022-08-10T11:03:29.589Z,-8.9298,123.9358,106.17,4.4,mb,26,69,0.883,0.73,us,us6000i9p2,2022-10-21T23:20:08.040Z,"57 km WNW of Pante Makasar, Timor Leste",earthquake,5.85,7.32,0.135,16,reviewed,us,us
2022-08-04T15:04:05.908Z,-8.2678,118.1283,6.911,4.4,mb,28,62,0.656,0.8,us,us6000ib1y,2022-10-12T14:51:43.040Z,"47 km NW of Dompu, Indonesia",earthquake,5.02,3.48,0.19,11,reviewed,us,us
2022-08-03T07:51:54.888Z,-9.0299,124.2016,70.561,4.9,mb,76,39,0.724,1,us,us6000i7ph,2022-10-12T14:50:11.040Z,"27 km NW of Pante Makasar, Timor Leste",earthquake,7.55,5.764,0.067,71,reviewed,us,us
2022-07-17T19:44:59.035Z,-8.1758,123.0035,193.91,4.3,mb,29,60,0.884,0.56,us,us7000htkh,2022-09-27T16:57:19.040Z,"Flores region, Indonesia",earthquake,4.2,7.3,0.147,15,reviewed,us,us
2022-07-14T18:14:25.033Z,-8.1171,120.0123,210.239,4.4,mb,19,89,2.261,1.16,us,us7000hspu,2022-09-24T21:25:37.040Z,"44 km NNE of Labuan Bajo, Indonesia",earthquake,8.27,8.906,0.239,5,reviewed,us,us
2022-07-07T02:16:04.633Z,-11.4492,118.0873,10,4.3,mb,21,92,4.877,0.91,us,us6000i23c,2022-09-13T06:26:03.040Z,"south of Sumbawa, Indonesia",earthquake,7.5,1.9,0.177,9,reviewed,us,us
2022-07-04T12:53:16.922Z,-10.4131,124.1086,10,4.3,mb,24,89,2.554,0.3,us,us6000i0vw,2022-09-13T06:24:45.040Z,"61 km ESE of Kupang, Indonesia",earthquake,5.7,1.9,0.178,10,reviewed,us,us
2022-07-03T17:11:21.760Z,-9.402,123.9222,91.81,4.4,mb,30,97,1.83,0.63,us,us6000hzkd,2022-09-13T06:21:36.040Z,"27 km NE of Naisano Dua, Indonesia",earthquake,11.52,2.879,0.112,23,reviewed,us,us
2022-07-03T14:51:10.748Z,-8.2032,119.5642,179.26,4.6,mb,70,41,1.873,0.88,us,us6000hzjv,2022-09-13T06:21:34.040Z,"43 km N of Komodo, Indonesia",earthquake,6.4,4.1,0.066,72,reviewed,us,us
2022-06-28T15:52:13.188Z,-9.1986,123.6014,102.45,5,mb,85,40,1.459,0.71,us,us7000hkva,2022-09-03T21:03:46.040Z,"47 km NNW of Naisano Dua, Indonesia",earthquake,7.6,5.7,0.059,94,reviewed,us,us
2022-06-25T12:43:26.729Z,-8.1324,120.219,200.93,4.3,mb,39,44,2.058,0.65,us,us7000hk6l,2022-09-03T21:03:37.040Z,"54 km NE of Labuan Bajo, Indonesia",earthquake,3.7,7.3,0.125,20,reviewed,us,us
2022-06-21T18:48:54.859Z,-9.5003,119.2294,78.166,4.2,mb,14,92,3.093,0.74,us,us7000hjz6,2022-08-28T03:19:48.040Z,"104 km SSW of Komodo, Indonesia",earthquake,4.68,10.152,0.235,5,reviewed,us,us
2022-06-15T19:13:52.053Z,-8.4667,121.3641,200.68,4.4,mb,15,78,0.88,0.72,us,us7000hhlf,2022-08-21T00:17:39.040Z,"53 km NW of Ende, Indonesia",earthquake,7.5,9.7,0.179,9,reviewed,us,us
2022-06-14T04:44:47.568Z,-8.0435,123.0466,233.98,4.2,mb,24,60,0.993,0.4,us,us7000hh8a,2022-08-21T00:17:02.040Z,"111 km NE of Maumere, Indonesia",earthquake,9.4,7.3,0.141,14,reviewed,us,us
2022-06-13T01:24:57.607Z,-8.5709,122.2519,187.43,4.2,mb,14,119,0.065,0.62,us,us7000hi4a,2022-08-21T00:16:40.040Z,"7 km NE of Maumere, Indonesia",earthquake,11.8,7.6,0.176,9,reviewed,us,us
2022-06-12T03:25:26.578Z,-9.8285,119.0955,29.77,4.6,mb,34,42,3.32,1.09,us,us7000hhvj,2022-08-21T00:16:16.040Z,"129 km W of Waingapu, Indonesia",earthquake,8.4,5.2,0.146,16,reviewed,us,us
2022-06-08T09:24:46.812Z,-8.1651,118.6713,177.27,4.5,mb,24,80,3.309,1.08,us,us7000hfw2,2022-08-13T21:51:42.040Z,"33 km N of Bima, Indonesia",earthquake,8.4,6.6,0.15,13,reviewed,us,us
2022-06-06T19:45:06.132Z,-8.0548,120.2683,200.02,4.5,mb,53,41,2.032,0.83,us,us7000hfeu,2022-08-13T21:52:00.040Z,"64 km NE of Labuan Bajo, Indonesia",earthquake,8.1,1.8,0.093,34,reviewed,us,us
2022-06-06T13:57:06.675Z,-8.0888,119.9603,189.95,4.5,mb,26,110,2.318,0.78,us,us7000hfb6,2022-08-13T21:51:36.040Z,"45 km N of Labuan Bajo, Indonesia",earthquake,9,8.1,0.14,16,reviewed,us,us
2022-06-06T03:44:37.252Z,-8.5741,118.3114,129.72,4.8,mb,49,46,3.814,1.04,us,us7000hf9e,2022-08-13T21:52:58.040Z,"17 km WSW of Dompu, Indonesia",earthquake,7.7,6.1,0.099,31,reviewed,us,us
2022-05-31T13:39:35.513Z,-8.666,123.0604,150.17,4.9,mb,80,66,0.814,0.68,us,us7000hdt7,2022-08-06T22:13:10.040Z,"93 km E of Maumere, Indonesia",earthquake,7.1,6,0.074,60,reviewed,us,us
2022-05-28T00:54:50.435Z,-9.2995,123.6279,91.28,4.3,mb,40,75,0.776,0.79,us,us7000hd7a,2022-08-06T22:12:59.040Z,"36 km NNW of Naisano Dua, Indonesia",earthquake,7.1,5.8,0.119,20,reviewed,us,us
2022-05-25T20:55:37.952Z,-8.8291,118.384,89.16,4.3,mb,18,86,3.814,0.76,us,us7000hdmg,2022-08-02T19:51:03.040Z,"33 km SSW of Dompu, Indonesia",earthquake,8.8,11.2,0.2,7,reviewed,us,us
2022-05-21T04:37:13.283Z,-8.4129,124.1993,148.27,4.4,mb,19,98,1.335,1.15,us,us6000hmul,2022-08-02T19:50:36.040Z,"89 km NNW of Pante Makasar, Timor Leste",earthquake,7.4,8.2,0.17,12,reviewed,us,us
2022-05-19T03:59:16.066Z,-11.9938,122.5819,10,4.3,mb,20,104,2.772,0.7,us,us7000hcf9,2022-07-24T02:40:08.040Z,"230 km SSW of Kupang, Indonesia",earthquake,5.5,1.9,0.2,7,reviewed,us,us
2022-05-15T20:55:13.200Z,-8.4802,121.2861,191.03,4.3,mb,15,99,0.953,0.67,us,us6000hmmp,2022-07-24T02:38:57.040Z,"57 km NW of Ende, Indonesia",earthquake,10.1,7.9,0.216,6,reviewed,us,us
2022-05-12T06:25:37.310Z,-8.064,120.0197,213.35,4.1,mb,16,86,3.041,0.58,us,us6000hm1s,2022-07-22T18:30:59.040Z,"49 km NNE of Labuan Bajo, Indonesia",earthquake,11.3,7.7,0.214,6,reviewed,us,us
2022-05-06T04:17:02.995Z,-8.4014,121.4857,10,4.5,mb,18,132,0.779,0.77,us,us6000hkts,2022-07-09T21:40:06.040Z,"52 km NNW of Ende, Indonesia",earthquake,5.9,1.6,0.191,9,reviewed,us,us
2022-05-02T13:19:53.127Z,-11.6561,119.8645,10,4.2,mb,17,108,3.481,0.68,us,us7000h8c6,2022-07-09T21:39:50.040Z,"225 km S of Waingapu, Indonesia",earthquake,6.6,1.9,0.2,9,reviewed,us,us
2022-04-28T03:36:30.880Z,-10.8026,123.2958,10,4.4,mb,21,121,1.413,0.85,us,us7000h7ae,2022-07-05T03:41:33.040Z,"77 km SSW of Kupang, Indonesia",earthquake,5.7,1.9,0.162,11,reviewed,us,us
2022-04-27T04:41:59.641Z,-10.3684,123.5296,10,4.5,mb,22,81,0.948,0.89,us,us7000h70t,2022-07-05T03:41:15.040Z,"23 km SSW of Kupang, Indonesia",earthquake,5.2,1.9,0.171,10,reviewed,us,us
2022-04-19T04:04:21.747Z,-8.6008,118.2652,125.54,4.4,mb,,69,3.856,0.65,us,us7000h38u,2022-06-26T01:19:32.040Z,"22 km WSW of Dompu, Indonesia",earthquake,8.3,7,0.139,15,reviewed,us,us
2022-04-18T00:47:11.864Z,-9.7721,118.8247,35,4.3,mb,,90,3.553,0.83,us,us7000h2zm,2022-06-26T01:19:04.040Z,"142 km SSE of Dompu, Indonesia",earthquake,5.5,2,0.177,9,reviewed,us,us
2022-04-17T13:27:57.438Z,-10.4367,120.2777,35,4.3,mb,,141,2.634,0.61,us,us6000hfk8,2022-06-26T01:18:52.040Z,"86 km S of Waingapu, Indonesia",earthquake,7.5,2,0.177,11,reviewed,us,us
2022-04-07T05:09:17.787Z,-10.8874,121.1318,10,4.4,mb,,76,2.488,0.62,us,us7000h1t8,2022-06-11T20:21:20.040Z,"166 km SE of Waingapu, Indonesia",earthquake,7.2,1.9,0.268,4,reviewed,us,us
2022-04-03T22:40:46.108Z,-10.6583,124.493,10,4.5,mb,,123,0.924,0.56,us,us7000h0gp,2022-06-11T20:21:13.040Z,"91 km SSE of Soe, Indonesia",earthquake,7.2,1.9,0.181,9,reviewed,us,us
2022-03-27T15:14:08.207Z,-8.0584,120.9611,10,4.3,mb,,86,1.387,0.44,us,us7000gyrv,2022-06-04T20:42:10.040Z,"82 km NE of Ruteng, Indonesia",earthquake,7.1,1.9,0.201,9,reviewed,us,us
2022-03-21T19:26:19.102Z,-8.245,119.7792,10,4.6,mb,,82,2.462,0.95,us,us6000h6i0,2022-05-28T18:35:23.040Z,"30 km NNW of Labuan Bajo, Indonesia",earthquake,6.1,1.8,0.091,36,reviewed,us,us
2022-03-21T18:03:41.455Z,-8.2031,118.7217,181.99,4,mb,,117,3.329,1.04,us,us7000gxa3,2022-05-28T18:35:38.040Z,"28 km N of Bima, Indonesia",earthquake,7.6,10.9,0.258,4,reviewed,us,us
2022-03-19T06:25:57.995Z,-8.1289,123.9278,164.68,4.3,mb,,82,1.65,0.86,us,us7000gwty,2022-05-28T18:35:30.040Z,"128 km NNW of Pante Makasar, Timor Leste",earthquake,6.4,11.2,0.307,3,reviewed,us,us
2022-03-18T04:33:03.376Z,-10.0572,120.5478,46.91,4.3,mb,,78,2.185,0.49,us,us7000gwn5,2022-05-27T14:55:45.040Z,"54 km SE of Waingapu, Indonesia",earthquake,9.5,4.5,0.265,4,reviewed,us,us
2022-03-12T02:00:45.933Z,-8.0436,120.6916,10,4.8,mb,,88,1.639,0.82,us,us6000h3xy,2022-05-27T14:55:19.040Z,"67 km NNE of Ruteng, Indonesia",earthquake,6.5,1.9,0.119,23,reviewed,us,us
2022-03-11T13:13:39.058Z,-8.0518,120.7494,10,4.4,mb,,75,1.582,0.6,us,us6000h55j,2022-05-14T21:52:37.040Z,"69 km NNE of Ruteng, Indonesia",earthquake,6,1.5,0.117,21,reviewed,us,us
2022-03-07T03:47:21.956Z,-8.0592,122.4012,10,4.5,mb,,132,0.595,1.07,us,us6000h2qs,2022-05-14T21:52:20.040Z,"65 km NNE of Maumere, Indonesia",earthquake,4.5,1.9,0.221,7,reviewed,us,us
2022-03-04T20:32:20.137Z,-8.468,123.5369,165.47,4.3,mb,,73,1.295,0.99,us,us6000h25d,2022-05-07T21:32:53.040Z,"123 km NW of Pante Makasar, Timor Leste",earthquake,8.8,7.3,0.079,48,reviewed,us,us
2022-03-04T07:00:49.986Z,-9.2151,119.213,79.53,4.3,mb,,98,1.47,0.56,us,us6000h1zj,2022-05-07T21:32:50.040Z,"75 km SSW of Komodo, Indonesia",earthquake,7.1,8.6,0.177,9,reviewed,us,us
2022-02-28T17:31:05.194Z,-8.1298,120.685,10,4.3,mb,,103,1.616,0.94,us,us6000h0t0,2022-05-07T21:32:38.040Z,"58 km NNE of Ruteng, Indonesia",earthquake,5.9,1.9,0.13,17,reviewed,us,us
2022-02-28T17:18:38.140Z,-8.1211,120.5902,10,4.3,mb,,119,1.708,1.22,us,us6000h236,2022-05-07T21:32:51.040Z,"55 km NNE of Ruteng, Indonesia",earthquake,5.2,1.9,0.177,9,reviewed,us,us
2022-02-28T17:10:39.705Z,-8.119,120.4814,10,4.6,mb,,64,1.811,0.65,us,us6000h0sw,2022-05-07T21:32:38.040Z,"54 km N of Ruteng, Indonesia",earthquake,6.8,1.9,0.109,25,reviewed,us,us
2022-02-28T14:42:31.359Z,-8.2009,120.5444,10,4.6,mb,,79,1.73,0.99,us,us6000h0s1,2022-05-07T21:32:37.040Z,"46 km N of Ruteng, Indonesia",earthquake,4,1.8,0.108,29,reviewed,us,us
2022-02-28T14:16:56.257Z,-8.1431,120.5028,10,4.8,mb,,39,1.784,0.75,us,us6000h0rx,2022-05-07T21:32:37.040Z,"51 km N of Ruteng, Indonesia",earthquake,6.2,1.8,0.128,22,reviewed,us,us
2022-02-27T20:45:04.486Z,-8.1302,120.5341,10,4.4,mb,,64,1.758,0.88,us,us6000h1tq,2022-05-07T21:32:48.040Z,"53 km N of Ruteng, Indonesia",earthquake,7.2,1.9,0.19,10,reviewed,us,us
2022-02-27T20:17:11.419Z,-8.2224,120.493,10,4.7,mb,,76,1.774,0.74,us,us6000h1tm,2022-05-07T21:32:48.040Z,"43 km N of Ruteng, Indonesia",earthquake,5.6,1.9,0.183,12,reviewed,us,us
2022-02-27T20:11:55.185Z,-8.0745,120.658,10,4.6,mb,,68,1.659,1.12,us,us6000h1tl,2022-05-07T21:32:48.040Z,"63 km NNE of Ruteng, Indonesia",earthquake,6.7,1.1,0.119,23,reviewed,us,us
2022-02-26T14:16:43.339Z,-8.5193,124.2411,10,4.5,mb,,87,1.228,0.94,us,us6000h1rj,2022-05-07T21:32:46.040Z,"76 km NNW of Pante Makasar, Timor Leste",earthquake,5.7,1.9,0.127,18,reviewed,us,us
2022-02-26T14:11:46.018Z,-9.1087,123.5995,10,4.4,mb,,67,0.92,0.95,us,us6000h1rw,2022-05-07T21:32:47.040Z,"57 km NNW of Naisano Dua, Indonesia",earthquake,6,1.9,0.134,18,reviewed,us,us
2022-02-25T11:44:57.613Z,-8.055,120.7064,10,4.5,mb,,108,1.621,0.43,us,us6000h1f1,2022-05-04T13:40:40.040Z,"67 km NNE of Ruteng, Indonesia",earthquake,5.8,1.8,0.156,12,reviewed,us,us
2022-02-25T09:22:48.807Z,-8.098,118.6152,180.34,4.8,mb,,22,1.101,0.71,us,us6000h019,2022-05-04T13:40:38.040Z,"41 km NNW of Bima, Indonesia",earthquake,7.2,5.7,0.09,38,reviewed,us,us
2022-02-23T14:02:26.105Z,-10.8685,123.9063,10,4.2,mb,,140,1.161,0.46,us,us6000h0u0,2022-05-04T13:40:06.040Z,"83 km SSE of Kupang, Indonesia",earthquake,7.8,1.9,0.167,10,reviewed,us,us
2022-02-22T14:23:02.650Z,-8.0338,120.7518,10,4.6,mb,,96,1.587,0.73,us,us6000h04g,2022-05-04T13:39:47.040Z,"Flores region, Indonesia",earthquake,7,1.9,0.164,12,reviewed,us,us
2022-02-22T11:16:20.723Z,-8.1099,120.606,10,4.2,mb,,88,1.696,0.53,us,us6000h04c,2022-05-04T13:39:44.040Z,"57 km NNE of Ruteng, Indonesia",earthquake,6.9,1.9,0.263,5,reviewed,us,us
2022-02-22T06:18:47.909Z,-8.1001,120.6809,10,4.7,mb,,84,1.629,0.65,us,us7000gmw7,2022-05-04T13:39:39.040Z,"61 km NNE of Ruteng, Indonesia",earthquake,3.6,1.8,0.101,30,reviewed,us,us
